,trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
96,148586:314493,19:38:00,19:38:00,1121,1,0,,0,0,1
97,148586:314493,19:38:00,19:38:00,1202,2,414,,0,0,0
98,148586:314493,19:38:00,19:38:00,1313,3,547,,0,0,0
99,148586:314493,19:40:00,19:40:00,1024,4,988,,0,0,1
100,148586:314493,19:40:00,19:40:00,1315,5,1273,,0,0,0
101,148586:314493,19:41:00,19:41:00,1316,6,1616,,0,0,0
102,148586:314493,19:41:00,19:41:00,1317,7,1732,,0,0,0
103,148586:314493,19:42:00,19:42:00,1318,8,2008,,0,0,0
104,148586:314493,19:42:00,19:42:00,1319,9,2306,,0,0,0
105,148586:314493,19:44:00,19:44:00,1321,10,2531,,0,0,1
106,148586:314493,19:44:00,19:44:00,1323,11,2829,,0,0,0
107,148586:314493,19:45:00,19:45:00,1819,12,3371,,0,0,0
108,148586:314493,19:45:00,19:45:00,1820,13,3691,,0,0,0
109,148586:314493,19:46:00,19:46:00,1821,14,4210,,0,0,0
110,148586:314493,19:47:00,19:47:00,1822,15,4519,,0,0,0
111,148586:314493,19:47:00,19:47:00,1324,16,4820,,0,0,0
112,148586:314493,19:48:00,19:48:00,1325,17,5031,,0,0,0
113,148586:314493,19:48:00,19:48:00,1326,18,5168,,0,0,0
114,148586:314493,19:48:00,19:48:00,1327,19,5390,,0,0,0
115,148586:314493,19:48:00,19:48:00,1328,20,5494,,0,0,0
116,148586:314493,19:50:00,19:50:00,1329,21,5681,,0,0,1
117,148586:314493,19:50:00,19:50:00,1330,22,6313,,0,0,0
118,148586:314493,19:51:00,19:51:00,1331,23,6566,,0,0,0
119,148586:314493,19:51:00,19:51:00,1333,24,6902,,0,0,0
120,148586:314493,19:52:00,19:52:00,1334,25,7198,,0,0,0
121,148586:314493,19:52:00,19:52:00,1335,26,7427,,0,0,0
122,148586:314493,19:53:00,19:53:00,1336,27,7712,,0,0,0
123,148586:314493,19:54:00,19:54:00,1337,28,7921,,0,0,1
701,148056:314558,10:16:00,10:16:00,1337,1,7921,,0,0,1
702,148056:314558,10:16:00,10:16:00,1338,2,8087,,0,0,0
703,148056:314558,10:16:00,10:16:00,1339,3,8358,,0,0,0
704,148056:314558,10:16:00,10:16:00,1340,4,8483,,0,0,0
705,148056:314558,10:17:00,10:17:00,1341,5,8655,,0,0,0
706,148056:314558,10:17:00,10:17:00,1342,6,8876,,0,0,0
707,148056:314558,10:17:00,10:17:00,1343,7,9057,,0,0,0
708,148056:314558,10:18:00,10:18:00,1344,8,9345,,0,0,0
709,148056:314558,10:18:00,10:18:00,1131,9,9625,,0,0,0
710,148056:314558,10:19:00,10:19:00,1132,10,9853,,0,0,0
711,148056:314558,10:20:00,10:20:00,1133,11,9967,,0,0,1
712,148056:314558,10:20:00,10:20:00,1345,12,10290,,0,0,0
713,148056:314558,10:20:00,10:20:00,1346,13,10373,,0,0,0
714,148056:314558,10:21:00,10:21:00,1130,14,10789,,0,0,0
715,148056:314558,10:21:00,10:21:00,1347,15,10957,,0,0,0
716,148056:314558,10:22:00,10:22:00,1348,16,11183,,0,0,0
717,148056:314558,10:22:00,10:22:00,1349,17,11409,,0,0,0
718,148056:314558,10:23:00,10:23:00,1350,18,11613,,0,0,0
719,148056:314558,10:23:00,10:23:00,1351,19,11843,,0,0,0
720,148056:314558,10:25:00,10:25:00,1352,20,12104,,0,0,1
721,148056:314558,10:25:00,10:25:00,1353,21,12427,,0,0,0
722,148056:314558,10:26:00,10:26:00,1354,22,12639,,0,0,0
723,148056:314558,10:26:00,10:26:00,1818,23,12815,,0,0,0
724,148056:314558,10:28:00,10:28:00,1121,24,13095,,0,0,1
