,trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
829,147558:314573,14:00:00,14:00:00,1121,1,0,,0,0,1
830,147558:314573,14:00:00,14:00:00,1202,2,414,,0,0,0
831,147558:314573,14:01:00,14:01:00,1203,3,537,,0,0,0
832,147558:314573,14:01:00,14:01:00,1204,4,746,,0,0,0
833,147558:314573,14:01:00,14:01:00,1205,5,913,,0,0,0
834,147558:314573,14:02:00,14:02:00,1439,6,1045,,0,0,0
835,147558:314573,14:02:00,14:02:00,1440,7,1151,,0,0,0
836,147558:314573,14:02:00,14:02:00,1792,8,1397,,0,0,0
837,147558:314573,14:03:00,14:03:00,1793,9,1577,,0,0,0
838,147558:314573,14:03:00,14:03:00,1794,10,1876,,0,0,0
839,147558:314573,14:05:00,14:05:00,1795,11,2033,,0,0,1
840,147558:314573,14:05:00,14:05:00,1208,12,2203,,0,0,0
841,147558:314573,14:05:00,14:05:00,1209,13,2362,,0,0,0
842,147558:314573,14:07:00,14:07:00,1442,14,2953,,0,0,0
843,147558:314573,14:08:00,14:08:00,1443,15,3126,,0,0,0
844,147558:314573,14:08:00,14:08:00,1444,16,3355,,0,0,0
845,147558:314573,14:10:00,14:10:00,1445,17,3568,,0,0,1
846,147558:314573,14:10:00,14:10:00,1446,18,3852,,0,0,0
847,147558:314573,14:11:00,14:11:00,1447,19,4126,,0,0,0
848,147558:314573,14:12:00,14:12:00,1448,20,4441,,0,0,0
849,147558:314573,14:13:00,14:13:00,1449,21,4835,,0,0,0
850,147558:314573,14:15:00,14:15:00,1450,22,5058,,0,0,1
29208,147569:317288,11:45:00,11:45:00,1450,1,5058,,0,0,1
29209,147569:317288,11:46:00,11:46:00,1451,2,5663,,0,0,0
29210,147569:317288,11:46:00,11:46:00,1452,3,5860,,0,0,0
29211,147569:317288,11:46:00,11:46:00,1453,4,6136,,0,0,0
29212,147569:317288,11:48:00,11:48:00,1454,5,6447,,0,0,1
29213,147569:317288,11:48:00,11:48:00,1455,6,6840,,0,0,0
29214,147569:317288,11:49:00,11:49:00,1456,7,7066,,0,0,0
29215,147569:317288,11:50:00,11:50:00,1457,8,7477,,0,0,0
29216,147569:317288,11:50:00,11:50:00,1458,9,7749,,0,0,0
29217,147569:317288,11:51:00,11:51:00,1459,10,8080,,0,0,0
29218,147569:317288,11:51:00,11:51:00,1460,11,8264,,0,0,0
29219,147569:317288,11:52:00,11:52:00,1304,12,8503,,0,0,0
29220,147569:317288,11:52:00,11:52:00,1305,13,8676,,0,0,0
29221,147569:317288,11:54:00,11:54:00,1306,14,8923,,0,0,1
29222,147569:317288,11:54:00,11:54:00,1307,15,9096,,0,0,0
29223,147569:317288,11:54:00,11:54:00,1308,16,9314,,0,0,0
29224,147569:317288,11:55:00,11:55:00,1309,17,9538,,0,0,0
29225,147569:317288,11:55:00,11:55:00,1310,18,9730,,0,0,0
29226,147569:317288,11:56:00,11:56:00,1311,19,10005,,0,0,0
29227,147569:317288,11:57:00,11:57:00,1312,20,10242,,0,0,0
29228,147569:317288,11:57:00,11:57:00,1818,21,10486,,0,0,0
29229,147569:317288,11:59:00,11:59:00,1121,22,10766,,0,0,1
