,trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
124,152665:314494,16:45:00,16:45:00,1121,1,0,,0,0,1
125,152665:314494,16:46:00,16:46:00,1203,2,366,,0,0,0
126,152665:314494,16:46:00,16:46:00,1204,3,575,,0,0,0
127,152665:314494,16:47:00,16:47:00,1205,4,742,,0,0,0
128,152665:314494,16:48:00,16:48:00,1206,5,1123,,0,0,0
129,152665:314494,16:49:00,16:49:00,1194,6,1324,,0,0,0
130,152665:314494,16:50:00,16:50:00,1195,7,1512,,0,0,0
131,152665:314494,16:52:00,16:52:00,1207,8,1773,,0,0,1
132,152665:314494,16:52:00,16:52:00,1208,9,2030,,0,0,0
133,152665:314494,16:53:00,16:53:00,1209,10,2189,,0,0,0
134,152665:314494,16:54:00,16:54:00,1210,11,2527,,0,0,0
135,152665:314494,16:55:00,16:55:00,1211,12,2882,,0,0,0
136,152665:314494,16:55:00,16:55:00,1212,13,3089,,0,0,0
137,152665:314494,16:56:00,16:56:00,1213,14,3271,,0,0,0
138,152665:314494,16:56:00,16:56:00,1214,15,3483,,0,0,0
139,152665:314494,16:57:00,16:57:00,1215,16,3721,,0,0,0
140,152665:314494,16:59:00,16:59:00,1216,17,3849,,0,0,1
141,152665:314494,16:59:00,16:59:00,1217,18,4124,,0,0,0
142,152665:314494,17:00:00,17:00:00,1219,19,4433,,0,0,0
143,152665:314494,17:01:00,17:01:00,1220,20,4786,,0,0,0
144,152665:314494,17:01:00,17:01:00,1221,21,4973,,0,0,0
145,152665:314494,17:04:00,17:04:00,1222,22,5682,,0,0,1
146,152665:314494,17:04:00,17:04:00,1223,23,5828,,0,0,0
147,152665:314494,17:06:00,17:06:00,1224,24,6408,,0,0,0
148,152665:314494,17:09:00,17:09:00,1225,25,6833,,0,0,1
149,152665:314494,17:09:00,17:09:00,1835,26,7391,,0,0,0
150,152665:314494,17:10:00,17:10:00,1226,27,7757,,0,0,0
151,152665:314494,17:10:00,17:10:00,1227,28,8222,,0,0,0
152,152665:314494,17:11:00,17:11:00,1228,29,8799,,0,0,0
153,152665:314494,17:11:00,17:11:00,1229,30,9069,,0,0,0
154,152665:314494,17:12:00,17:12:00,1230,31,9584,,0,0,0
155,152665:314494,17:14:00,17:14:00,1231,32,10160,,0,0,1
995,152490:314602,21:53:00,21:53:00,1231,1,10160,,0,0,1
996,152490:314602,21:53:00,21:53:00,1288,2,10788,,0,0,0
997,152490:314602,21:54:00,21:54:00,1823,3,11157,,0,0,0
998,152490:314602,21:54:00,21:54:00,1289,4,11487,,0,0,0
999,152490:314602,21:54:00,21:54:00,1824,5,11612,,0,0,0
1000,152490:314602,21:55:00,21:55:00,1290,6,12177,,0,0,0
1001,152490:314602,21:55:00,21:55:00,1291,7,12609,,0,0,0
1002,152490:314602,21:56:00,21:56:00,1833,8,13116,,0,0,0
1003,152490:314602,21:57:00,21:57:00,1292,9,13470,,0,0,1
1004,152490:314602,21:58:00,21:58:00,1293,10,14069,,0,0,0
1005,152490:314602,22:01:00,22:08:00,1222,11,14690,,0,0,1
1006,152490:314602,22:08:00,22:08:00,1223,12,14836,,0,0,0
1007,152490:314602,22:09:00,22:09:00,1294,13,15516,,0,0,0
1008,152490:314602,22:10:00,22:10:00,1483,14,15886,,0,0,0
1009,152490:314602,22:10:00,22:10:00,1484,15,16165,,0,0,0
1010,152490:314602,22:12:00,22:12:00,1485,16,16596,,0,0,1
1011,152490:314602,22:12:00,22:12:00,1486,17,16784,,0,0,0
1012,152490:314602,22:12:00,22:12:00,1837,18,17132,,0,0,0
1013,152490:314602,22:14:00,22:14:00,1773,19,18012,,0,0,0
1014,152490:314602,22:14:00,22:14:00,1774,20,18266,,0,0,0
1015,152490:314602,22:14:00,22:14:00,1295,21,18446,,0,0,0
1016,152490:314602,22:15:00,22:15:00,1297,22,18693,,0,0,0
1017,152490:314602,22:16:00,22:16:00,1298,23,18941,,0,0,1
1018,152490:314602,22:16:00,22:16:00,1299,24,19108,,0,0,0
1019,152490:314602,22:17:00,22:17:00,1300,25,19431,,0,0,0
1020,152490:314602,22:17:00,22:17:00,1301,26,19679,,0,0,0
1021,152490:314602,22:18:00,22:18:00,1302,27,19890,,0,0,0
1022,152490:314602,22:19:00,22:19:00,1303,28,20235,,0,0,0
1023,152490:314602,22:19:00,22:19:00,1304,29,20490,,0,0,0
1024,152490:314602,22:20:00,22:20:00,1305,30,20663,,0,0,0
1025,152490:314602,22:20:00,22:20:00,1846,31,20888,,0,0,0
1026,152490:314602,22:22:00,22:22:00,1115,32,21113,,0,0,1
1027,152490:314602,22:22:00,22:22:00,1116,33,21353,,0,0,0
1028,152490:314602,22:23:00,22:23:00,1844,34,21675,,0,0,0
1029,152490:314602,22:24:00,22:24:00,1845,35,22101,,0,0,0
1030,152490:314602,22:25:00,22:25:00,1818,36,22449,,0,0,0
1031,152490:314602,22:27:00,22:27:00,1121,37,22729,,0,0,1
