,trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
52,147757:314485,09:37:00,09:37:00,1231,1,0,,0,0,1
53,147757:314485,09:37:00,09:37:00,1232,2,516,,0,0,0
54,147757:314485,09:38:00,09:38:00,1233,3,1080,,0,0,0
55,147757:314485,09:39:00,09:39:00,1234,4,1323,,0,0,0
56,147757:314485,09:39:00,09:39:00,1235,5,1537,,0,0,0
57,147757:314485,09:40:00,09:40:00,1655,6,1834,,0,0,0
58,147757:314485,09:40:00,09:40:00,1656,7,2060,,0,0,0
59,147757:314485,09:40:00,09:40:00,1657,8,2251,,0,0,0
60,147757:314485,09:42:00,09:42:00,1658,9,2495,,0,0,1
61,147757:314485,09:42:00,09:42:00,1724,10,2671,,0,0,0
62,147757:314485,09:43:00,09:43:00,1665,11,2984,,0,0,0
63,147757:314485,09:43:00,09:43:00,1666,12,3151,,0,0,0
64,147757:314485,09:43:00,09:43:00,1667,13,3433,,0,0,0
65,147757:314485,09:44:00,09:44:00,1668,14,3696,,0,0,0
66,147757:314485,09:44:00,09:44:00,1239,15,3904,,0,0,0
67,147757:314485,09:45:00,09:45:00,1240,16,4102,,0,0,0
68,147757:314485,09:45:00,09:45:00,1241,17,4238,,0,0,0
69,147757:314485,09:46:00,09:46:00,1242,18,4456,,0,0,0
70,147757:314485,09:46:00,09:46:00,1243,19,4618,,0,0,0
71,147757:314485,09:46:00,09:46:00,1244,20,4848,,0,0,0
72,147757:314485,09:49:00,09:49:00,1848,21,5401,,0,0,1
73,147757:314485,09:49:00,09:49:00,1849,22,5655,,0,0,0
74,147757:314485,09:51:00,09:51:00,1245,23,5922,,0,0,1
75,147757:314485,09:51:00,09:51:00,1246,24,6246,,0,0,0
76,147757:314485,09:52:00,09:52:00,1247,25,6542,,0,0,0
77,147757:314485,09:52:00,09:52:00,1248,26,6743,,0,0,0
78,147757:314485,09:53:00,09:53:00,1249,27,6872,,0,0,0
79,147757:314485,09:53:00,09:53:00,1089,28,7077,,0,0,0
80,147757:314485,09:54:00,09:54:00,1090,29,7341,,0,0,0
81,147757:314485,09:54:00,09:54:00,1577,30,7657,,0,0,0
82,147757:314485,09:56:00,09:56:00,1019,31,7838,,0,0,1
573,147722:314546,10:15:00,10:15:00,1019,1,7838,,0,0,1
574,147722:314546,10:16:00,10:16:00,1021,2,8418,,0,0,0
575,147722:314546,10:16:00,10:16:00,1022,3,8616,,0,0,0
576,147722:314546,10:17:00,10:17:00,1023,4,8898,,0,0,0
577,147722:314546,10:17:00,10:17:00,1250,5,9152,,0,0,0
578,147722:314546,10:18:00,10:18:00,1251,6,9342,,0,0,0
579,147722:314546,10:18:00,10:18:00,1252,7,9489,,0,0,0
580,147722:314546,10:19:00,10:19:00,1253,8,9802,,0,0,0
581,147722:314546,10:21:00,10:21:00,1255,9,10111,,0,0,1
582,147722:314546,10:21:00,10:21:00,1256,10,10346,,0,0,0
583,147722:314546,10:21:00,10:21:00,1257,11,10518,,0,0,0
584,147722:314546,10:22:00,10:22:00,1258,12,10638,,0,0,0
585,147722:314546,10:22:00,10:22:00,1279,13,10796,,0,0,0
586,147722:314546,10:22:00,10:22:00,1280,14,10919,,0,0,0
587,147722:314546,10:22:00,10:22:00,1281,15,11059,,0,0,0
588,147722:314546,10:23:00,10:23:00,1641,16,11471,,0,0,0
589,147722:314546,10:24:00,10:24:00,1642,17,11659,,0,0,0
590,147722:314546,10:24:00,10:24:00,1643,18,11997,,0,0,0
591,147722:314546,10:25:00,10:25:00,1644,19,12276,,0,0,0
592,147722:314546,10:26:00,10:26:00,1645,20,12517,,0,0,0
593,147722:314546,10:26:00,10:26:00,1646,21,12653,,0,0,0
594,147722:314546,10:28:00,10:28:00,1647,22,12936,,0,0,1
595,147722:314546,10:28:00,10:28:00,1648,23,13150,,0,0,0
596,147722:314546,10:28:00,10:28:00,1649,24,13364,,0,0,0
597,147722:314546,10:29:00,10:29:00,1650,25,13565,,0,0,0
598,147722:314546,10:29:00,10:29:00,1651,26,13795,,0,0,0
599,147722:314546,10:29:00,10:29:00,1652,27,13988,,0,0,0
600,147722:314546,10:29:00,10:29:00,1653,28,14096,,0,0,0
601,147722:314546,10:30:00,10:30:00,1654,29,14418,,0,0,0
602,147722:314546,10:30:00,10:30:00,1284,30,14651,,0,0,0
603,147722:314546,10:31:00,10:31:00,1285,31,14986,,0,0,0
604,147722:314546,10:31:00,10:31:00,1286,32,15299,,0,0,0
605,147722:314546,10:34:00,10:34:00,1231,33,16034,,0,0,1
