,trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
83,147415:314486,13:30:00,13:30:00,1231,1,0,,0,0,1
84,147415:314486,13:31:00,13:31:00,1232,2,516,,0,0,0
85,147415:314486,13:33:00,13:33:00,1703,3,1326,,0,0,0
86,147415:314486,13:34:00,13:34:00,1570,4,1667,,0,0,0
87,147415:314486,13:35:00,13:35:00,1571,5,2112,,0,0,0
88,147415:314486,13:37:00,13:37:00,1572,6,2371,,0,0,1
89,147415:314486,13:38:00,13:38:00,1573,7,2691,,0,0,0
90,147415:314486,13:38:00,13:38:00,1574,8,2826,,0,0,0
91,147415:314486,13:39:00,13:39:00,1575,9,2980,,0,0,0
92,147415:314486,13:40:00,13:40:00,1576,10,3294,,0,0,0
93,147415:314486,13:41:00,13:41:00,1830,11,3706,,0,0,0
94,147415:314486,13:42:00,13:42:00,1827,12,3891,,0,0,0
95,147415:314486,13:44:00,13:44:00,1019,13,4165,,0,0,1
2886,148972:314764,09:40:00,09:40:00,1019,1,4165,,0,0,1
2887,148972:314764,09:40:00,09:40:00,1836,2,4299,,0,0,0
2888,148972:314764,09:40:00,09:40:00,1834,3,4623,,0,0,0
2889,148972:314764,09:41:00,09:41:00,1539,4,5084,,0,0,0
2890,148972:314764,09:42:00,09:42:00,1832,5,5262,,0,0,0
2891,148972:314764,09:42:00,09:42:00,1838,6,5365,,0,0,0
2892,148972:314764,09:42:00,09:42:00,1839,7,5538,,0,0,0
2893,148972:314764,09:44:00,09:44:00,1840,8,5984,,0,0,1
2894,148972:314764,09:44:00,09:44:00,1841,9,6400,,0,0,0
2895,148972:314764,09:45:00,09:45:00,1565,10,6674,,0,0,0
2896,148972:314764,09:45:00,09:45:00,1566,11,7075,,0,0,0
2897,148972:314764,09:47:00,09:47:00,1287,12,7900,,0,0,0
2898,148972:314764,09:49:00,09:49:00,1231,13,8331,,0,0,1
