,trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
302,147850:314507,13:37:00,13:37:00,1150,1,0,,0,0,1
303,147850:314507,13:37:00,13:37:00,1152,2,382,,0,0,0
304,147850:314507,13:38:00,13:38:00,1153,3,703,,0,0,0
305,147850:314507,13:38:00,13:38:00,1154,4,902,,0,0,0
306,147850:314507,13:39:00,13:39:00,1155,5,1113,,0,0,0
307,147850:314507,13:39:00,13:39:00,1157,6,1370,,0,0,0
308,147850:314507,13:40:00,13:40:00,1158,7,1542,,0,0,0
309,147850:314507,13:40:00,13:40:00,1159,8,1751,,0,0,0
310,147850:314507,13:41:00,13:41:00,1160,9,2018,,0,0,0
311,147850:314507,13:41:00,13:41:00,1161,10,2151,,0,0,0
312,147850:314507,13:41:00,13:41:00,1162,11,2328,,0,0,0
313,147850:314507,13:42:00,13:42:00,1163,12,2528,,0,0,0
314,147850:314507,13:42:00,13:42:00,1165,13,2715,,0,0,0
315,147850:314507,13:42:00,13:42:00,1166,14,2877,,0,0,0
316,147850:314507,13:43:00,13:43:00,1167,15,3020,,0,0,0
317,147850:314507,13:43:00,13:43:00,1168,16,3192,,0,0,0
318,147850:314507,13:43:00,13:43:00,1169,17,3314,,0,0,0
319,147850:314507,13:44:00,13:44:00,1170,18,3451,,0,0,0
320,147850:314507,13:44:00,13:44:00,1171,19,3718,,0,0,0
321,147850:314507,13:45:00,13:45:00,1172,20,4409,,0,0,0
322,147850:314507,13:46:00,13:46:00,1173,21,4542,,0,0,0
323,147850:314507,13:46:00,13:46:00,1174,22,4709,,0,0,0
324,147850:314507,13:49:00,13:49:00,1176,23,5034,,0,0,1
325,147850:314507,13:49:00,13:49:00,1177,24,5156,,0,0,0
326,147850:314507,13:50:00,13:50:00,1178,25,5347,,0,0,0
327,147850:314507,13:51:00,13:51:00,1179,26,5698,,0,0,0
328,147850:314507,13:52:00,13:52:00,1180,27,6069,,0,0,0
329,147850:314507,13:52:00,13:52:00,1181,28,6232,,0,0,0
330,147850:314507,13:53:00,13:53:00,1182,29,6466,,0,0,0
331,147850:314507,13:54:00,13:54:00,1183,30,6694,,0,0,0
332,147850:314507,13:54:00,13:54:00,1184,31,6842,,0,0,0
333,147850:314507,13:55:00,13:55:00,1185,32,7040,,0,0,0
334,147850:314507,13:56:00,13:56:00,1186,33,7283,,0,0,0
335,147850:314507,13:57:00,13:57:00,1187,34,7533,,0,0,0
336,147850:314507,13:57:00,13:57:00,1188,35,7672,,0,0,0
337,147850:314507,14:00:00,14:00:00,1121,36,7874,,0,0,1
338,147850:314507,14:00:00,14:00:00,1189,37,8190,,0,0,0
