stop_id,1121,1202,1203,1355,1356,1461,1462,1463,1464,1465,1466,1467,1468,1469,1470,1471,1472,1473,1474,1475,1476,1853,1478,1480,1481,1482,1292,1293,1222,1223,1294,1483,1484,1485,1486,1487,1488,1489,1490,1491,1003,1004,1005,1006,1757,1758,1760,1761,1709,1710,1711,1769,1770,1771,1772,1773,1774,1220,1221,1224,1225,1775,1776,1777,1778,1852,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1791,1352,1353,1354,1818
1121,0,414,537,794,930,1207,1337,1595,1838,2151,2497,2620,2836,3142,3421,3630,4023,4311,4693,4896,5373,5701,6024,6592,6943,7595,8168,8767,8489,8343,10214,10584,10863,11294,11482,11705,11960,12164,12323,12818,13524,14022,14249,13943,13181,12969,12474,12319,11814,11510,11315,11083,10837,10522,10386,10009,9755,9385,9198,7763,7338,6613,6061,5661,5090,4765,4425,3938,3780,3424,2992,2762,2534,2184,1956,1786,1580,1233,991,668,456,280
1202,414,0,123,380,516,793,923,1181,1424,1737,2083,2206,2422,2728,3007,3216,3609,3897,4279,4482,4959,5287,5610,6178,6529,7181,7754,8353,8974,9120,9800,10170,10449,10880,11068,11291,11546,11750,11909,12404,13110,13608,13915,14221,14983,15195,15690,15845,16350,16654,16849,17081,17327,17642,17778,18155,18409,18779,18966,20401,20826,21551,22103,22503,23074,23399,23739,24226,24384,24740,25172,25402,25630,25980,26208,26378,26584,26931,27173,27496,27708,27884
1203,537,123,0,257,393,670,800,1058,1301,1614,1960,2083,2299,2605,2884,3093,3486,3774,4156,4359,4836,5164,5487,6055,6406,7058,7631,8230,8851,8997,9677,10047,10326,10757,10945,11168,11423,11627,11786,12281,12987,13485,13792,14098,14860,15072,15567,15722,16227,16531,16726,16958,17204,17519,17655,18032,18286,18656,18843,20278,20703,21428,21980,22380,22951,23276,23616,24103,24261,24617,25049,25279,25507,25857,26085,26255,26461,26808,27050,27373,27585,27761
1355,794,380,257,0,136,413,543,801,1044,1357,1703,1826,2042,2348,2627,2836,3229,3517,3899,4102,4579,4907,5230,5798,6149,6801,7374,7973,8594,8740,9420,9790,10069,10500,10688,10911,11166,11370,11529,12024,12730,13228,13535,13841,14603,14815,15310,15465,15970,16274,16469,16701,16947,17262,17398,17775,18029,18399,18586,20021,20446,21171,21723,22123,22694,23019,23359,23846,24004,24360,24792,25022,25250,25600,25828,25998,26204,26551,26793,27116,27328,27504
1356,930,516,393,136,0,277,407,665,908,1221,1567,1690,1906,2212,2491,2700,3093,3381,3763,3966,4443,4771,5094,5662,6013,6665,7238,7837,8458,8604,9284,9654,9933,10364,10552,10775,11030,11234,11393,11888,12594,13092,13399,13705,14467,14679,15174,15329,15834,16138,16333,16565,16811,17126,17262,17639,17893,18263,18450,19885,20310,21035,21587,21987,22558,22883,23223,23710,23868,24224,24656,24886,25114,25464,25692,25862,26068,26415,26657,26980,27192,27368
1461,1207,793,670,413,277,0,130,388,631,944,1290,1413,1629,1935,2214,2423,2816,3104,3486,3689,4166,4494,4817,5385,5736,6388,6961,7560,8181,8327,9007,9377,9656,10087,10275,10498,10753,10957,11116,11611,12317,12815,13122,13428,14190,14402,14897,15052,15557,15861,16056,16288,16534,16849,16985,17362,17616,17986,18173,19608,20033,20758,21310,21710,22281,22606,22946,23433,23591,23947,24379,24609,24837,25187,25415,25585,25791,26138,26380,26703,26915,27091
1462,1337,923,800,543,407,130,0,258,501,814,1160,1283,1499,1805,2084,2293,2686,2974,3356,3559,4036,4364,4687,5255,5606,6258,6831,7430,8051,8197,8877,9247,9526,9957,10145,10368,10623,10827,10986,11481,12187,12685,12992,13298,14060,14272,14767,14922,15427,15731,15926,16158,16404,16719,16855,17232,17486,17856,18043,19478,19903,20628,21180,21580,22151,22476,22816,23303,23461,23817,24249,24479,24707,25057,25285,25455,25661,26008,26250,26573,26785,26961
1463,1595,1181,1058,801,665,388,258,0,243,556,902,1025,1241,1547,1826,2035,2428,2716,3098,3301,3778,4106,4429,4997,5348,6000,6573,7172,7793,7939,8619,8989,9268,9699,9887,10110,10365,10569,10728,11223,11929,12427,12734,13040,13802,14014,14509,14664,15169,15473,15668,15900,16146,16461,16597,16974,17228,17598,17785,19220,19645,20370,20922,21322,21893,22218,22558,23045,23203,23559,23991,24221,24449,24799,25027,25197,25403,25750,25992,26315,26527,26703
1464,1838,1424,1301,1044,908,631,501,243,0,313,659,782,998,1304,1583,1792,2185,2473,2855,3058,3535,3863,4186,4754,5105,5757,6330,6929,7550,7696,8376,8746,9025,9456,9644,9867,10122,10326,10485,10980,11686,12184,12491,12797,13559,13771,14266,14421,14926,15230,15425,15657,15903,16218,16354,16731,16985,17355,17542,18977,19402,20127,20679,21079,21650,21975,22315,22802,22960,23316,23748,23978,24206,24556,24784,24954,25160,25507,25749,26072,26284,26460
