,trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
472,148873:314522,13:00:00,13:00:00,1019,1,0,,0,0,1
473,148873:314522,13:00:00,13:00:00,1492,2,334,,0,0,0
474,148873:314522,13:01:00,13:01:00,1493,3,516,,0,0,0
475,148873:314522,13:01:00,13:01:00,1494,4,729,,0,0,0
476,148873:314522,13:01:00,13:01:00,1495,5,864,,0,0,0
477,148873:314522,13:02:00,13:02:00,1496,6,1148,,0,0,0
478,148873:314522,13:02:00,13:02:00,1497,7,1328,,0,0,0
479,148873:314522,13:03:00,13:03:00,1498,8,1718,,0,0,0
480,148873:314522,13:03:00,13:03:00,1499,9,1861,,0,0,0
481,148873:314522,13:04:00,13:04:00,1500,10,2039,,0,0,0
482,148873:314522,13:04:00,13:04:00,1501,11,2305,,0,0,0
483,148873:314522,13:06:00,13:06:00,1502,12,2422,,0,0,1
484,148873:314522,13:06:00,13:06:00,1278,13,2683,,0,0,0
485,148873:314522,13:07:00,13:07:00,1504,14,3048,,0,0,0
486,148873:314522,13:08:00,13:08:00,1505,15,3342,,0,0,0
487,148873:314522,13:09:00,13:09:00,1506,16,3630,,0,0,0
488,148873:314522,13:09:00,13:09:00,1260,17,3865,,0,0,0
489,148873:314522,13:10:00,13:10:00,1507,18,4158,,0,0,0
490,148873:314522,13:11:00,13:11:00,1508,19,4362,,0,0,0
491,148873:314522,13:11:00,13:11:00,1509,20,4590,,0,0,0
492,148873:314522,13:12:00,13:12:00,1510,21,4742,,0,0,0
493,148873:314522,13:12:00,13:12:00,1511,22,4860,,0,0,0
494,148873:314522,13:13:00,13:13:00,1512,23,5165,,0,0,0
495,148873:314522,13:14:00,13:14:00,1513,24,5420,,0,0,0
496,148873:314522,13:15:00,13:15:00,1514,25,5976,,0,0,0
497,148873:314522,13:18:00,13:18:00,1515,26,6223,,0,0,1
498,148873:314522,13:21:00,13:21:00,1518,27,7273,,0,0,1
499,148873:314522,13:21:00,13:21:00,1519,28,8059,,0,0,0
500,148873:314522,13:22:00,13:22:00,1520,29,8238,,0,0,0
501,148873:314522,13:22:00,13:22:00,1521,30,8423,,0,0,0
502,148873:314522,13:25:00,13:25:00,1522,31,10157,,0,0,1
503,148844:314531,13:27:00,13:27:00,1522,1,10157,,0,0,1
504,148844:314531,13:31:00,13:31:00,1524,2,12456,,0,0,0
505,148844:314531,13:31:00,13:31:00,1525,3,12610,,0,0,0
506,148844:314531,13:32:00,13:32:00,1526,4,12858,,0,0,0
507,148844:314531,13:32:00,13:32:00,1527,5,13157,,0,0,0
508,148844:314531,13:33:00,13:33:00,1528,6,13331,,0,0,0
509,148844:314531,13:33:00,13:33:00,1529,7,13553,,0,0,0
510,148844:314531,13:34:00,13:34:00,1530,8,13669,,0,0,0
511,148844:314531,13:36:00,13:36:00,1531,9,13981,,0,0,1
512,148844:314531,13:36:00,13:36:00,1533,10,14299,,0,0,0
513,148844:314531,13:37:00,13:37:00,1535,11,14766,,0,0,0
514,148844:314531,13:38:00,13:38:00,1536,12,15232,,0,0,0
515,148844:314531,13:39:00,13:39:00,1537,13,15551,,0,0,0
516,148844:314531,13:39:00,13:39:00,1538,14,15729,,0,0,0
517,148844:314531,13:40:00,13:40:00,1091,15,16001,,0,0,0
518,148844:314531,13:42:00,13:42:00,1019,16,16472,,0,0,1
