,trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
28952,149020:317277,19:53:00,19:53:00,1423,1,0,,0,0,1
28953,149020:317277,19:54:00,19:54:00,1405,2,594,,0,0,0
28954,149020:317277,19:54:00,19:54:00,1406,3,783,,0,0,0
28955,149020:317277,19:54:00,19:54:00,1407,4,978,,0,0,0
28956,149020:317277,19:55:00,19:55:00,1408,5,1199,,0,0,0
28957,149020:317277,19:56:00,19:56:00,1451,6,1945,,0,0,0
28958,149020:317277,19:57:00,19:57:00,1452,7,2142,,0,0,0
28959,149020:317277,19:57:00,19:57:00,1453,8,2418,,0,0,0
28960,149020:317277,19:59:00,19:59:00,1454,9,2729,,0,0,1
28961,149020:317277,19:59:00,19:59:00,1455,10,3122,,0,0,0
28962,149020:317277,20:00:00,20:00:00,1456,11,3348,,0,0,0
28963,149020:317277,20:01:00,20:01:00,1457,12,3759,,0,0,1
28964,149020:317277,20:01:00,20:01:00,1458,13,4031,,0,0,0
28965,149020:317277,20:01:00,20:01:00,1459,14,4362,,0,0,0
28966,149020:317277,20:01:00,20:01:00,1460,15,4546,,0,0,0
28967,149020:317277,20:02:00,20:02:00,1304,16,4785,,0,0,0
28968,149020:317277,20:02:00,20:02:00,1305,17,4958,,0,0,0
28969,149020:317277,20:03:00,20:03:00,1306,18,5205,,0,0,1
28970,149020:317277,20:03:00,20:03:00,1307,19,5378,,0,0,0
28971,149020:317277,20:03:00,20:03:00,1308,20,5596,,0,0,0
28972,149020:317277,20:04:00,20:04:00,1309,21,5820,,0,0,0
28973,149020:317277,20:04:00,20:04:00,1310,22,6012,,0,0,0
28974,149020:317277,20:05:00,20:05:00,1311,23,6287,,0,0,0
28975,149020:317277,20:06:00,20:06:00,1312,24,6524,,0,0,0
28976,149020:317277,20:06:00,20:06:00,1818,25,6768,,0,0,0
28977,149020:317277,20:08:00,20:08:00,1121,26,7048,,0,0,1
29147,149025:317285,06:00:00,06:00:00,1121,1,7048,,0,0,1
29148,149025:317285,06:00:00,06:00:00,1202,2,7462,,0,0,0
29149,149025:317285,06:01:00,06:01:00,1203,3,7585,,0,0,0
29150,149025:317285,06:01:00,06:01:00,1204,4,7794,,0,0,0
29151,149025:317285,06:01:00,06:01:00,1205,5,7961,,0,0,0
29152,149025:317285,06:02:00,06:02:00,1439,6,8093,,0,0,0
29153,149025:317285,06:02:00,06:02:00,1440,7,8199,,0,0,0
29154,149025:317285,06:02:00,06:02:00,1792,8,8445,,0,0,0
29155,149025:317285,06:03:00,06:03:00,1793,9,8625,,0,0,0
29156,149025:317285,06:03:00,06:03:00,1794,10,8924,,0,0,0
29157,149025:317285,06:03:00,06:03:00,1795,11,9081,,0,0,0
29158,149025:317285,06:04:00,06:04:00,1208,12,9251,,0,0,0
29159,149025:317285,06:04:00,06:04:00,1209,13,9410,,0,0,0
29160,149025:317285,06:05:00,06:05:00,1442,14,10001,,0,0,0
29161,149025:317285,06:05:00,06:05:00,1443,15,10174,,0,0,0
29162,149025:317285,06:06:00,06:06:00,1444,16,10403,,0,0,0
29163,149025:317285,06:08:00,06:08:00,1445,17,10616,,0,0,1
29164,149025:317285,06:08:00,06:08:00,1446,18,10900,,0,0,0
29165,149025:317285,06:08:00,06:08:00,1447,19,11174,,0,0,0
29166,149025:317285,06:09:00,06:09:00,1815,20,11484,,0,0,0
29167,149025:317285,06:09:00,06:09:00,1816,21,11735,,0,0,0
29168,149025:317285,06:10:00,06:10:00,1409,22,12384,,0,0,0
29169,149025:317285,06:11:00,06:11:00,1410,23,12986,,0,0,0
29170,149025:317285,06:11:00,06:11:00,1412,24,13333,,0,0,0
29171,149025:317285,06:12:00,06:12:00,1413,25,13702,,0,0,0
29172,149025:317285,06:12:00,06:12:00,1414,26,14034,,0,0,0
29173,149025:317285,06:13:00,06:13:00,1415,27,14307,,0,0,0
29174,149025:317285,06:13:00,06:13:00,1416,28,14630,,0,0,0
29175,149025:317285,06:13:00,06:13:00,1417,29,14862,,0,0,0
29176,149025:317285,06:16:00,06:16:00,1418,30,15497,,0,0,1
29177,149025:317285,06:16:00,06:16:00,1419,31,15813,,0,0,0
29178,149025:317285,06:16:00,06:16:00,1420,32,16166,,0,0,0
29179,149025:317285,06:16:00,06:16:00,1421,33,16335,,0,0,0
29180,149025:317285,06:17:00,06:17:00,1422,34,16766,,0,0,0
29181,149025:317285,06:18:00,06:18:00,1423,35,17018,,0,0,1
