,trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
1193,147948:314631,06:30:00,06:30:00,1121,1,0,,0,0,1
1194,147948:314631,06:30:00,06:30:00,1202,2,414,,0,0,0
1195,147948:314631,06:31:00,06:31:00,1203,3,537,,0,0,0
1196,147948:314631,06:31:00,06:31:00,1355,4,794,,0,0,0
1197,147948:314631,06:31:00,06:31:00,1356,5,930,,0,0,0
1198,147948:314631,06:32:00,06:32:00,1461,6,1207,,0,0,0
1199,147948:314631,06:32:00,06:32:00,1462,7,1337,,0,0,0
1200,147948:314631,06:33:00,06:33:00,1463,8,1595,,0,0,0
1201,147948:314631,06:33:00,06:33:00,1464,9,1838,,0,0,0
1202,147948:314631,06:34:00,06:34:00,1465,10,2151,,0,0,0
1203,147948:314631,06:34:00,06:34:00,1466,11,2497,,0,0,0
1204,147948:314631,06:35:00,06:35:00,1467,12,2620,,0,0,0
1205,147948:314631,06:35:00,06:35:00,1468,13,2836,,0,0,0
1206,147948:314631,06:36:00,06:36:00,1469,14,3142,,0,0,0
1207,147948:314631,06:38:00,06:38:00,1470,15,3421,,0,0,1
1208,147948:314631,06:38:00,06:38:00,1471,16,3630,,0,0,0
1209,147948:314631,06:39:00,06:39:00,1472,17,4023,,0,0,0
1210,147948:314631,06:39:00,06:39:00,1473,18,4311,,0,0,0
1211,147948:314631,06:41:00,06:41:00,1474,19,4693,,0,0,1
1212,147948:314631,06:41:00,06:41:00,1475,20,4896,,0,0,0
1213,147948:314631,06:42:00,06:42:00,1476,21,5373,,0,0,0
1214,147948:314631,06:43:00,06:43:00,1853,22,5701,,0,0,0
1215,147948:314631,06:43:00,06:43:00,1478,23,6024,,0,0,0
1216,147948:314631,06:45:00,06:45:00,1480,24,6592,,0,0,0
1217,147948:314631,06:45:00,06:45:00,1481,25,6943,,0,0,0
1218,147948:314631,06:47:00,06:47:00,1482,26,7595,,0,0,0
1219,147948:314631,06:50:00,06:50:00,1292,27,8168,,0,0,1
1220,147948:314631,06:51:00,06:51:00,1293,28,8767,,0,0,0
1221,147948:314631,06:53:00,06:53:00,1222,29,9388,,0,0,1
1222,147948:314631,06:53:00,06:53:00,1223,30,9534,,0,0,0
1223,147948:314631,06:54:00,06:54:00,1294,31,10214,,0,0,0
1224,147948:314631,06:55:00,06:55:00,1483,32,10584,,0,0,0
1225,147948:314631,06:55:00,06:55:00,1484,33,10863,,0,0,0
1226,147948:314631,06:56:00,06:56:00,1485,34,11294,,0,0,0
1227,147948:314631,06:56:00,06:56:00,1486,35,11482,,0,0,0
1228,147948:314631,06:57:00,06:57:00,1487,36,11705,,0,0,0
1229,147948:314631,06:57:00,06:57:00,1488,37,11960,,0,0,0
1230,147948:314631,06:57:00,06:57:00,1489,38,12164,,0,0,0
1231,147948:314631,06:58:00,06:58:00,1490,39,12323,,0,0,0
1232,147948:314631,06:59:00,06:59:00,1491,40,12818,,0,0,0
1233,147948:314631,07:00:00,07:00:00,1003,41,13524,,0,0,0
1234,147948:314631,07:01:00,07:01:00,1004,42,14022,,0,0,0
1235,147948:314631,07:01:00,07:01:00,1005,43,14329,,0,0,0
1236,147948:314631,07:04:00,07:04:00,1006,44,14635,,0,0,1
28878,148436:317268,18:03:00,18:03:00,1006,1,14635,,0,0,1
28879,148436:317268,18:05:00,18:05:00,1757,2,15397,,0,0,0
28880,148436:317268,18:05:00,18:05:00,1758,3,15609,,0,0,0
28881,148436:317268,18:06:00,18:06:00,1760,4,16104,,0,0,0
28882,148436:317268,18:07:00,18:07:00,1761,5,16259,,0,0,0
28883,148436:317268,18:08:00,18:08:00,1709,6,16764,,0,0,0
28884,148436:317268,18:09:00,18:09:00,1710,7,17068,,0,0,0
28885,148436:317268,18:10:00,18:10:00,1711,8,17263,,0,0,0
28886,148436:317268,18:10:00,18:10:00,1769,9,17495,,0,0,0
28887,148436:317268,18:11:00,18:11:00,1770,10,17741,,0,0,0
28888,148436:317268,18:12:00,18:12:00,1771,11,18056,,0,0,0
28889,148436:317268,18:12:00,18:12:00,1772,12,18192,,0,0,0
28890,148436:317268,18:13:00,18:13:00,1773,13,18569,,0,0,0
28891,148436:317268,18:14:00,18:14:00,1774,14,18823,,0,0,0
28892,148436:317268,18:15:00,18:15:00,1220,15,19193,,0,0,0
28893,148436:317268,18:15:00,18:15:00,1221,16,19380,,0,0,0
28894,148436:317268,18:20:00,18:20:00,1222,17,20089,,0,0,1
28895,148436:317268,18:20:00,18:20:00,1223,18,20235,,0,0,0
