,trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
4830,149043:314957,16:20:00,16:20:00,1043,1,0,,0,0,1
4831,149043:314957,16:20:00,16:20:00,1044,2,125,,0,0,0
4832,149043:314957,16:20:00,16:20:00,1045,3,266,,0,0,0
4833,149043:314957,16:20:00,16:20:00,1046,4,468,,0,0,0
4834,149043:314957,16:21:00,16:21:00,1578,5,650,,0,0,0
4835,149043:314957,16:22:00,16:22:00,1579,6,1316,,0,0,0
4836,149043:314957,16:23:00,16:23:00,1580,7,1616,,0,0,0
4837,149043:314957,16:23:00,16:23:00,1581,8,1785,,0,0,0
4838,149043:314957,16:23:00,16:23:00,1582,9,2059,,0,0,0
4839,149043:314957,16:24:00,16:24:00,1583,10,2418,,0,0,0
4840,149043:314957,16:26:00,16:26:00,1597,11,3488,,0,0,0
4841,149043:314957,16:27:00,16:27:00,1598,12,3874,,0,0,0
4842,149043:314957,16:27:00,16:27:00,1599,13,4136,,0,0,0
4843,149043:314957,16:27:00,16:27:00,1600,14,4295,,0,0,0
4844,149043:314957,16:28:00,16:28:00,1601,15,4491,,0,0,0
4845,149043:314957,16:28:00,16:28:00,1602,16,4840,,0,0,0
4846,149043:314957,16:29:00,16:29:00,1603,17,5122,,0,0,0
4847,149043:314957,16:29:00,16:29:00,1604,18,5336,,0,0,0
4848,149043:314957,16:30:00,16:30:00,1605,19,5468,,0,0,0
4849,149043:314957,16:30:00,16:30:00,1606,20,5737,,0,0,0
4850,149043:314957,16:30:00,16:30:00,1607,21,5908,,0,0,0
4851,149043:314957,16:31:00,16:31:00,1608,22,6158,,0,0,0
4852,149043:314957,16:31:00,16:31:00,1610,23,6340,,0,0,0
4853,149043:314957,16:32:00,16:32:00,1611,24,6615,,0,0,0
4854,149043:314957,16:32:00,16:32:00,1612,25,6973,,0,0,0
4855,149043:314957,16:33:00,16:33:00,1613,26,7412,,0,0,0
4856,149043:314957,16:35:00,16:35:00,1614,27,8260,,0,0,0
4857,149043:314957,16:39:00,16:39:00,1615,28,8749,,0,0,1
4858,149043:314957,16:39:00,16:39:00,1616,29,9275,,0,0,0
4859,149043:314957,16:39:00,16:39:00,1617,30,9575,,0,0,0
4860,149043:314957,16:40:00,16:40:00,1618,31,9935,,0,0,0
4861,149043:314957,16:40:00,16:40:00,1619,32,10247,,0,0,0
4862,149043:314957,16:40:00,16:40:00,1620,33,10777,,0,0,0
4863,149043:314957,16:41:00,16:41:00,1621,34,11385,,0,0,0
4864,149043:314957,16:41:00,16:41:00,1622,35,11924,,0,0,0
4865,149043:314957,16:44:00,16:44:00,1623,36,13363,,0,0,1
4866,149043:314957,16:44:00,16:44:00,1624,37,13673,,0,0,0
4867,149043:314957,16:45:00,16:45:00,1626,38,14418,,0,0,0
4868,149043:314957,16:46:00,16:46:00,1625,39,14754,,0,0,0
4869,149043:314957,16:47:00,16:47:00,1627,40,15304,,0,0,0
4870,149043:314957,16:47:00,16:47:00,1628,41,15630,,0,0,0
4871,149043:314957,16:48:00,16:48:00,1629,42,15981,,0,0,0
4872,149043:314957,16:50:00,16:50:00,1630,43,16286,,0,0,1
4873,149043:314957,16:50:00,16:50:00,1631,44,17134,,0,0,0
4874,149043:314957,16:51:00,16:51:00,1632,45,17732,,0,0,0
4875,149043:314957,16:51:00,16:51:00,1633,46,18029,,0,0,0
4876,149043:314957,16:52:00,16:52:00,1634,47,18257,,0,0,0
4877,149043:314957,16:52:00,16:52:00,1635,48,18530,,0,0,0
4878,149043:314957,16:52:00,16:52:00,1636,49,19213,,0,0,0
4879,149043:314957,16:53:00,16:53:00,1637,50,19695,,0,0,0
4880,149043:314957,16:53:00,16:53:00,1519,51,20109,,0,0,0
4881,149043:314957,16:54:00,16:54:00,1520,52,20288,,0,0,0
4882,149043:314957,16:55:00,16:55:00,1521,53,20473,,0,0,1
4883,149043:314957,16:55:00,16:55:00,1524,54,20973,,0,0,0
4884,149043:314957,16:56:00,16:56:00,1525,55,21127,,0,0,0
4885,149043:314957,16:56:00,16:56:00,1526,56,21375,,0,0,0
4886,149043:314957,16:57:00,16:57:00,1729,57,21662,,0,0,0
4887,149043:314957,16:57:00,16:57:00,1730,58,21869,,0,0,0
4888,149043:314957,16:58:00,16:58:00,1731,59,22065,,0,0,0
4889,149043:314957,16:59:00,16:59:00,1732,60,22239,,0,0,1
4890,149043:314957,16:59:00,16:59:00,1817,61,22468,,0,0,0
4891,149043:314957,17:00:00,17:00:00,1061,62,22910,,0,0,0
4892,149043:314957,17:00:00,17:00:00,1062,63,23105,,0,0,0
4893,149043:314957,17:00:00,17:00:00,1063,64,23372,,0,0,0
4894,149043:314957,17:01:00,17:01:00,1065,65,23605,,0,0,0
4895,149043:314957,17:01:00,17:01:00,1066,66,23770,,0,0,0
4896,149043:314957,17:02:00,17:02:00,1043,67,23862,,0,0,1
