,trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
156,147603:314496,22:13:00,22:13:00,1231,1,0,,0,0,1
157,147603:314496,22:14:00,22:14:00,1232,2,516,,0,0,0
158,147603:314496,22:15:00,22:15:00,1233,3,1080,,0,0,0
159,147603:314496,22:15:00,22:15:00,1234,4,1323,,0,0,0
160,147603:314496,22:16:00,22:16:00,1235,5,1537,,0,0,0
161,147603:314496,22:16:00,22:16:00,1236,6,1763,,0,0,0
162,147603:314496,22:16:00,22:16:00,1237,7,1922,,0,0,0
163,147603:314496,22:17:00,22:17:00,1238,8,2063,,0,0,0
164,147603:314496,22:17:00,22:17:00,1239,9,2282,,0,0,0
165,147603:314496,22:17:00,22:17:00,1240,10,2480,,0,0,0
166,147603:314496,22:18:00,22:18:00,1241,11,2616,,0,0,0
167,147603:314496,22:18:00,22:18:00,1259,12,2783,,0,0,0
168,147603:314496,22:20:00,22:20:00,1260,13,2970,,0,0,1
169,147603:314496,22:20:00,22:20:00,1261,14,3250,,0,0,0
170,147603:314496,22:21:00,22:21:00,1262,15,3553,,0,0,0
171,147603:314496,22:22:00,22:22:00,1263,16,3877,,0,0,0
172,147603:314496,22:22:00,22:22:00,1264,17,4012,,0,0,0
173,147603:314496,22:23:00,22:23:00,1265,18,4201,,0,0,0
174,147603:314496,22:23:00,22:23:00,1266,19,4522,,0,0,0
175,147603:314496,22:24:00,22:24:00,1267,20,4877,,0,0,0
176,147603:314496,22:25:00,22:25:00,1268,21,5160,,0,0,0
177,147603:314496,22:27:00,22:27:00,1269,22,5340,,0,0,1
1084,147639:314607,15:30:00,15:30:00,1269,1,5340,,0,0,1
1085,147639:314607,15:30:00,15:30:00,1270,2,5517,,0,0,0
1086,147639:314607,15:31:00,15:31:00,1271,3,5678,,0,0,0
1087,147639:314607,15:31:00,15:31:00,1272,4,5902,,0,0,0
1088,147639:314607,15:32:00,15:32:00,1273,5,6082,,0,0,0
1089,147639:314607,15:33:00,15:33:00,1274,6,6312,,0,0,0
1090,147639:314607,15:33:00,15:33:00,1275,7,6560,,0,0,0
1091,147639:314607,15:35:00,15:35:00,1276,8,6915,,0,0,0
1092,147639:314607,15:37:00,15:37:00,1277,9,7186,,0,0,1
1093,147639:314607,15:37:00,15:37:00,1278,10,7448,,0,0,0
1094,147639:314607,15:37:00,15:37:00,1279,11,7669,,0,0,0
1095,147639:314607,15:38:00,15:38:00,1280,12,7792,,0,0,0
1096,147639:314607,15:38:00,15:38:00,1281,13,7932,,0,0,0
1097,147639:314607,15:39:00,15:39:00,1282,14,8309,,0,0,0
1098,147639:314607,15:39:00,15:39:00,1283,15,8445,,0,0,0
1099,147639:314607,15:39:00,15:39:00,1284,16,8656,,0,0,0
1100,147639:314607,15:40:00,15:40:00,1285,17,8991,,0,0,0
1101,147639:314607,15:40:00,15:40:00,1286,18,9304,,0,0,0
1102,147639:314607,15:42:00,15:42:00,1287,19,9893,,0,0,0
1103,147639:314607,15:44:00,15:44:00,1231,20,10324,,0,0,1
