,trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
0,152606:314483,12:35:00,12:35:00,1006,1,0,,0,0,1
1,152606:314483,12:36:00,12:36:00,1757,2,762,,0,0,0
2,152606:314483,12:36:00,12:36:00,1758,3,974,,0,0,0
3,152606:314483,12:37:00,12:37:00,1760,4,1469,,0,0,0
4,152606:314483,12:37:00,12:37:00,1761,5,1624,,0,0,0
5,152606:314483,12:38:00,12:38:00,1709,6,2129,,0,0,0
6,152606:314483,12:38:00,12:38:00,1710,7,2433,,0,0,0
7,152606:314483,12:38:00,12:38:00,1711,8,2628,,0,0,0
8,152606:314483,12:40:00,12:40:00,1712,9,2923,,0,0,1
9,152606:314483,12:40:00,12:40:00,1713,10,3192,,0,0,0
10,152606:314483,12:41:00,12:41:00,1714,11,3396,,0,0,0
11,152606:314483,12:42:00,12:42:00,1715,12,3842,,0,0,0
12,152606:314483,12:42:00,12:42:00,1716,13,4147,,0,0,0
13,152606:314483,12:44:00,12:44:00,1569,14,4667,,0,0,0
14,152606:314483,12:45:00,12:45:00,1566,15,5195,,0,0,0
15,152606:314483,12:47:00,12:47:00,1287,16,6020,,0,0,0
16,152606:314483,12:50:00,12:50:00,1231,17,6451,,0,0,1
17,152606:314483,12:51:00,12:51:00,1232,18,6967,,0,0,0
18,152606:314483,12:52:00,12:52:00,1717,19,7674,,0,0,0
19,152606:314483,12:53:00,12:53:00,1718,20,7923,,0,0,0
20,152606:314483,12:54:00,12:54:00,1719,21,8180,,0,0,0
21,152606:314483,12:54:00,12:54:00,1720,22,8421,,0,0,0
22,152606:314483,12:55:00,12:55:00,1721,23,8724,,0,0,0
23,152606:314483,12:56:00,12:56:00,1722,24,8996,,0,0,0
24,152606:314483,12:56:00,12:56:00,1723,25,9166,,0,0,0
25,152606:314483,12:57:00,12:57:00,1724,26,9428,,0,0,0
26,152606:314483,12:57:00,12:57:00,1725,27,9660,,0,0,0
27,152606:314483,12:58:00,12:58:00,1726,28,9981,,0,0,0
28,152606:314483,12:59:00,12:59:00,1727,29,10324,,0,0,0
29,152606:314483,13:00:00,13:00:00,1728,30,10658,,0,0,0
30,152606:314483,13:00:00,13:00:00,1729,31,10809,,0,0,0
31,152606:314483,13:00:00,13:00:00,1730,32,11016,,0,0,0
32,152606:314483,13:01:00,13:01:00,1731,33,11212,,0,0,0
33,152606:314483,13:04:00,13:04:00,1732,34,11386,,0,0,1
34,152606:314483,13:04:00,13:04:00,1733,35,11692,,0,0,0
35,152606:314483,13:05:00,13:05:00,1734,36,11990,,0,0,0
36,152606:314483,13:05:00,13:05:00,1735,37,12210,,0,0,0
37,152606:314483,13:06:00,13:06:00,1736,38,12504,,0,0,0
38,152606:314483,13:06:00,13:06:00,1737,39,12643,,0,0,0
39,152606:314483,13:06:00,13:06:00,1738,40,12740,,0,0,0
40,152606:314483,13:07:00,13:07:00,1739,41,12996,,0,0,0
41,152606:314483,13:07:00,13:07:00,1740,42,13204,,0,0,0
42,152606:314483,13:08:00,13:08:00,1741,43,13283,,0,0,0
43,152606:314483,13:08:00,13:08:00,1742,44,13471,,0,0,0
